area_type,availability,location,size,society,total_sqft,bath,balcony,price
6,Unavailable ,Vajarahalli,2,u,945,2,1,54
6,Ready To Move,Hormavu,2,SyidaCr,1500,2,1,78
10,Ready To Move,Vishwapriya Layout,7,u,950,7,0,115
2,Ready To Move,Peenya,3,Jahts H,1870,3,3,110
10,Ready To Move,Sarjapur,3,Inensba,1600,3,1,75
6,Ready To Move,Electronic City,2,Itelaa ,880,1,1,16.5
10,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4,u,1200,4,0,210
6,Ready To Move,Kudlu Gate,3,Srier P,1535,3,2,83
2,Ready To Move,Kanakpura Road,2,Wiowsri,950,2,1,57
6,Unavailable ,Devanahalli,2,Derdsig,1360,2,1,65
6,Unavailable ,8th Phase JP Nagar,2,Vaarech,1042,2,0,54.005
6,Unavailable ,Bommasandra Industrial Area,3,u,1280,3,1,50.4
6,Unavailable ,Chandra Layout,3,TiaksAa,1260,2,2,85.05
2,Ready To Move,Hennur Road,8,u,5000,8,0,250
6,Unavailable ,Yelahanka,5,LedorSa,3050,5,1,213
6,Ready To Move,Kasavanhalli,3,HMwerCo,1563.05,3,1,105
6,Ready To Move,ISRO Layout,2,u,1000,2,1,60
6,Unavailable ,Anandapura,2,ViensRK,1167,2,1,43.76
6,Ready To Move,Vishveshwarya Layout,7,u,4000,7,2,225
6,Ready To Move,Kothanur,3,Somumys,1828,3,0,110
6,Ready To Move,Kengeri Satellite Town,2,HoiewLa,890,2,1,35
6,Ready To Move,Basavanapura,3,Dwity T,1612,3,3,46.74
10,Ready To Move,Dinnur,6,u,1034,5,0,185
6,Unavailable ,Mysore Road,3,Brama P,1710,4,2,91.31
6,Ready To Move,Kannamangala,2,VBownre,957,2,1,58
6,Unavailable , Devarachikkanahalli,3,u,1250,2,3,44
6,Ready To Move,Sanjeevini Nagar,3,Betatsi,2795,4,0,235
6,Ready To Move,Hulimavu,2,Prcan P,1125,2,2,50
6,Unavailable ,Electronic City Phase II,2,Sryalan,1020,2,1,30.6
6,Ready To Move,Kalena Agrahara,2,u,1200,2,2,50
6,Ready To Move,Thanisandra,3,Soitya ,1735,3,3,135
6,Ready To Move,Thanisandra,3,G conTh,2050,3,1,145
10,Ready To Move,Mahalakshmi Layout,4,u,3750,4,0,760
2,Ready To Move,Yarandahalli,3,u,1350,2,3,48
6,Unavailable ,Hosa Road,2,SStusan,1063,2,1,32
6,Ready To Move,Keshava Nagar,3,ETens G,1904,3,1,150
2,Ready To Move,Whitefield,4,u,4200,4,2,420
6,Ready To Move,RMV Extension,3,Hohnari,2000,3,1,175
6,Unavailable ,Sarjapur,2,Kinuerg,1145,2,0,43.49
6,Ready To Move,Tejaswini Nagar,3,Naods W,1425,2,2,75
6,Ready To Move,Electronic City,3,GMown E,1500,2,1,64.5
2,Ready To Move,Electronic City,2,GMown E,1060,2,1,60
2,Ready To Move,Jai Bheema Nagar,3,Sancyra,1470,2,2,70
6,Ready To Move,Kothnur Narayanapura,6,u,1300,6,0,99
6,Ready To Move,Attibele,1,Jae 1hu,450,1,1,11
6,Unavailable ,Electronic City,2,Prarkun,1152,2,1,64.5
6,Ready To Move,Electronic City,3,GMown E,1350,2,1,56
6,Ready To Move,CV Raman Nagar,3,Srshq T,1550,3,3,65
10,Ready To Move,CHIKKATIRUPATHI,3,u,1500,3,2,100
10,Ready To Move,Kumaraswami Layout,5,u,600,3,2,85
10,Ready To Move,Nagavara,1,u,400,1,0,14
6,Ready To Move,Malleshwaram,1,Utntspa,705,1,2,67
2,Ready To Move,Electronic City,2,GMown E,770,1,1,36
6,Ready To Move,Hulimavu,2,Aniona ,1242,2,3,51
6,Ready To Move,Hebbal Kempapura,3,Goateds,1700,3,2,155
6,Ready To Move,Thanisandra,3,Soitya ,2144,3,2,145
6,Unavailable ,Vijayanagar,3,Saahaat,1704,3,2,110
6,Ready To Move,Electronic City,2,GMown E,1070,2,1,52
10,Ready To Move,8th block Koramangala,3,u,1846,3,2,300
6,Ready To Move,Jakkuru Layout,2,u,1340,2,2,55.7
2,Ready To Move,Electronic City,2,GMown E,1025,2,1,46
6,Ready To Move,KR Puram,2,MCvarar,1015,2,0,56.8
6,Ready To Move,Marathahalli,2,VRave E,1200,2,2,52
2,Unavailable ,Kanakpura Road,4,u,2250,4,1,110
6,Ready To Move,Pattandur Agrahara,3,MaidoPl,1550,2,3,80
10,Ready To Move,Bellandur,4,u,1200,5,0,325
10,Ready To Move,Ejipura,7,u,1800,7,1,250
6,Ready To Move,Marathahalli,2,Aiitya ,1200,2,2,60
6,Ready To Move,Yelahanka,2,PuziaVe,1327,2,2,98
6,Ready To Move,Kothanur,2,u,1186,2,2,58
2,Ready To Move,MS Pallya,3,u,1783,3,1,115
6,Ready To Move,HSR Layout,3,NRosete,1400,3,2,56
6,Ready To Move,Nagasandra,2,u,980,2,1,48
6,Ready To Move,EPIP Zone,2,u,1285,2,2,82
6,Ready To Move,Langford Town,3,u,912,2,1,70
2,Ready To Move,Whitefield,2,Sancya ,1225,2,2,47.6
6,Ready To Move,Whitefield,2,u,1075,2,1,53
2,Ready To Move,Kadugodi,3,MSingco,1260,2,2,54
6,Ready To Move,Yelahanka,3,Pyikad ,1282,2,2,48.7
6,Ready To Move,Kogilu,3,CaIRSCr,1909,3,2,88
6,Ready To Move,Panathur,2,Prcesvy,1359,2,1,87
2,Ready To Move,Nagondanahalli,2,u,1207,2,2,43.5
10,Ready To Move,Padmanabhanagar,4,u,1736,6,0,190
6,Unavailable ,1st Block Jayanagar,4,u,2850,4,1,428
6,Ready To Move,Kammasandra,3,Emstael,1595,3,2,65
2,Unavailable ,"Off Sarjapur Road, ",3,u,1798,3,2,89
6,Ready To Move,Electronics City Phase 1,3,SNdri N,1475,3,2,78.29
6,Ready To Move,Tala Cauvery Layout,3,HodhiSa,1580,3,3,100
6,Ready To Move,Dasarahalli,2,Syonyph,1295,2,1,65
2,Ready To Move,Magadi Road,6,u,3600,6,0,141
6,Ready To Move,Electronic City,1,Itvir M,589,1,1,27
6,Ready To Move,Ngef Layout,3,u,1415,3,3,78
6,Unavailable ,Sarjapur  Road,3,Klark L,1787,3,2,98.29
6,Ready To Move,Sarjapur  Road,3,Klark L,1787,3,2,125
6,Ready To Move,Koramangala,3,Piityra,1475,2,3,90
2,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4,u,2000,4,1,75.5
6,Unavailable ,Sarjapur  Road,2,AsastDe,984,2,1,44.28
6,Unavailable ,Devanahalli,3,Jurdsig,1520,0,0,74.82
6,Ready To Move,Muthurayya Swamy Layout,3,MacleK ,2405,4,2,260
2,Ready To Move,7th Phase JP Nagar,2,Brnia G,1080,2,2,72
10,Ready To Move,Shantiniketan Layout,2,u,1500,2,1,115
6,Ready To Move,Hebbal,3,u,1900,3,2,119
6,Unavailable ,Dommasandra,2,u,805,2,1,22.14
6,Ready To Move,Budigere,2,PrityTr,1153,2,2,56.4
6,Ready To Move,Dodda Nekkundi Extension,2,AlEcone,1148,2,2,60
6,Ready To Move,Mylasandra,2,Laowsba,1110,2,2,55
2,Ready To Move,Electronic City,2,Saave R,1100,2,2,42
6,Ready To Move,Kalyan nagar,2,Anave S,1290,2,2,110
6,Ready To Move,Dr Shivarama Karantha Nagar,3,u,1500,2,1,65
6,Unavailable ,Bank Of Baroda Colony,2,u,1080,2,2,39
6,Unavailable ,Vijayanagar,3,Saityat,1933,3,1,129
2,Ready To Move,Ramamurthy Nagar,5,u,3500,5,2,150
2,Ready To Move,Kullappa Colony,2,u,1060,2,2,60
6,Unavailable ,Chandapura,1,SunceEs,645,1,1,16.45
10,Ready To Move,Mukkutam Nagar,8,u,2600,8,2,180
6,Unavailable ,Chandapura,1,SunceEs,645,1,1,16.45
6,Ready To Move,Ashwath Nagar,3,SJcerpe,1644,3,3,84
6,Ready To Move,Ncpr Industrial Layout,2,Supams ,1285,2,3,72.5
10,Ready To Move,Electronic City,3,u,1200,3,1,90
6,Ready To Move,Electronic City,2,CoapeSo,910,2,1,40
6,Ready To Move,Kothanur,3,Bisic C,1577,3,1,70
10,Unavailable ,Meenakunte,3,Sreat R,4050,3,2,280
6,Ready To Move,OMBR Layout,3,Inntsa ,2420,3,2,185
6,Ready To Move,Chandapura,2,KHityry,800,1,1,20
2,Ready To Move,Anand Nagar,2,u,1060,2,2,55
6,Ready To Move,7th Phase JP Nagar,2,BriumMi,1270,2,2,93
6,Unavailable ,Shree Ananth Nagar Layout,2,u,900,2,2,22.5
2,Ready To Move,Kundalahalli Colony,2,u,1280,2,1,69
10,Ready To Move,Horamavu Agara,4,u,1200,2,0,95
2,Ready To Move,Sarjapur  Road,2,u,1025,2,2,36
6,Unavailable ,Electronic City,2,Prarkun,1108,2,1,63
10,Ready To Move,MCECHS  layout,5,u,1200,5,0,170
6,Ready To Move,Coffee Board Layout,3,Calyxy ,3045,3,2,170
10,Ready To Move,Ambedkar Nagar,4,Thessrm,2900,3,2,300
6,Ready To Move,Vijayanagar,3,JJortom,1500,3,2,75.5
6,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,2,43.9
6,Ready To Move,Budigere,2,PrityTr,1162,2,1,59.9
6,Ready To Move,Sarjapur  Road,2,Usquaya,1035,2,2,49.2
2,Ready To Move,Attibele,4,Natic T,1600,4,0,52.8
6,Ready To Move,KUDLU MAIN ROAD,3,u,1464,3,2,46
6,Unavailable ,Hennur Road,3,DSapeSk,1866,2,2,61.58
6,Ready To Move,Geleyara Balaga Layout,2,Jahtsa ,700,1,1,26
6,Ready To Move,Kalena Agrahara,3,Prillot,1804,3,2,120
6,Ready To Move,Sarjapur,2,u,913,2,1,32
6,Unavailable ,Talaghattapura,3,Sodgere,1868,3,2,131
2,Ready To Move,Kengeri Satellite Town,2,u,883,2,1,45
10,Ready To Move,Sundara Nagar,2,u,900,2,1,110
6,Ready To Move,Kogilu,3,u,1664,2,3,73.95
6,Ready To Move,Hegde Nagar,3,SoitaCa,2026,3,2,132
6,Ready To Move,Balagere,2,Soestin,1210,2,1,80.9
10,Ready To Move,Meenakunte,4,Sreat R,4111,4,2,250
6,Ready To Move,Kadugodi,3,Alestrb,1762,3,3,91.45
6,Ready To Move,Jigani,3,DLhtsen,1252,3,3,55
2,Ready To Move,Gollarapalya Hosahalli,2,Mauner ,861,2,1,34.5
2,Ready To Move,7th Phase JP Nagar,3,Brnia G,1420,2,1,100
10,Ready To Move,Srirampura,6,u,1450,6,0,250
2,Ready To Move,Electronics City Phase 1,3,GaicaVe,1490,3,1,78.8
6,Ready To Move,Bisuvanahalli,3,u,1075,2,1,46
6,Unavailable ,Old Madras Road,3,Saesttt,1425,2,2,94
2,Ready To Move,Kalena Agrahara,2,Nae 2El,1200,2,1,40
6,Ready To Move,Kaggadasapura,3,u,1280,2,2,56
6,Ready To Move,Silver Springs Layout,2,Bhinglv,1084,2,2,50
6,Unavailable ,Chandapura,2,SunceEs,1015,2,2,25.88
6,Unavailable ,Kanakpura Road,2,GolusLi,1017,2,1,51.25
6,Ready To Move,Haralur Road,2,u,1027,2,2,44
6,Ready To Move,Electronic City Phase II,2,Coush W,1069,2,2,45
6,Ready To Move,Hebbal,2,Prersis,1349,2,1,98.2
6,Ready To Move,9th Phase JP Nagar,2,NaensGa,1005,2,1,50
6,Ready To Move,Jakkur,2,Arzzo P,1417,2,3,75
10,Unavailable ,TC Palaya,3,u,1475,3,1,98
7,Ready To Move,Maruthi Sevanagar,2,SMikaay,950,2,2,47
6,Ready To Move,RMV 2nd Stage,4,Prave E,2000,4,0,120
10,Ready To Move,Giri Nagar,3,u,880,3,1,140
6,Ready To Move,Sarjapur  Road,4,Ahriaup,1863,3,2,104
6,Ready To Move,Singasandra,2,Priewhi,1010,2,1,29.5
6,Ready To Move,Kalena Agrahara,3,Shodsth,1425,2,1,70
6,Ready To Move,Vijayanagar,3,Swadeh ,1450,3,0,100
6,Ready To Move,Kothanur,3,Somumys,1847,3,2,105
6,Ready To Move,AECS Layout,2,Soran U,1100,2,3,45
6,Unavailable ,Kanakpura Road,1,PrarePa,525,1,1,26
6,Ready To Move,Mallasandra,3,Puestig,1665,3,2,95
6,Ready To Move,Begur,4,Prntsrt,1664,4,3,65
6,Ready To Move,JP Nagar,3,Maerar ,1850,3,3,150
6,Ready To Move,Panathur,2,Vaesh T,1438,2,3,100
6,Ready To Move,Sunder Ram Shetty Nagar,3,MaisePa,1560,3,3,115
6,Unavailable ,Yelahanka,2,u,1350,2,1,55.55
6,Ready To Move,Kanakpura Road,3,JRrnauv,1550,3,3,67
6,Unavailable ,Malleshpalya,2,u,1140,2,2,46.5
10,Ready To Move,Srirampura,5,u,1200,5,2,180
6,Unavailable ,Kodathi,2,u,850,2,2,27
6,Ready To Move,Whitefield,2,Gotis A,1280,2,2,75
2,Ready To Move,Munnekollal,2,u,1170,2,2,52
6,Ready To Move,Motappa Layout,2,Puodse ,1113,2,1,51
6,Ready To Move,Hennur Road,2,Mileeou,1385,2,1,83.09
6,Unavailable ,Electronic City,2,Prarkun,1128,2,1,65
10,Ready To Move,Marathahalli,2,u,1200,2,2,128
10,Ready To Move,Akshaya Vana,4,u,1200,4,3,165
6,Ready To Move,Rajaji Nagar,3,PhestOn,2390,3,2,415
10,Ready To Move,Giri Nagar,4,u,2400,4,1,400
6,Ready To Move,Haralur Road,3,NRowse ,1464,3,2,56
6,Ready To Move,Manayata Tech Park,2,u,1200,2,2,55
6,Ready To Move,Kaval Byrasandra,2,Abncy R,1200,2,2,52
6,Ready To Move,Kaggalipura,3,Baowsig,1150,2,1,55
2,Ready To Move,Basavanna Nagar,3,Itala A,1645,3,2,95
6,Unavailable ,Sarjapur  Road,2,u,1000,2,1,67
10,Ready To Move,Haralur Road,4,u,2650,4,2,198
6,Ready To Move,6th Phase JP Nagar,2,HMinebo,1192,2,2,74
6,Ready To Move,Ulsoor,3,K borja,2135,3,2,215
6,Unavailable ,Whitefield,2,Oreldhi,1173,2,1,58
2,Ready To Move,Uttarahalli,2,Sungspr,1020,2,2,45
6,Ready To Move,Thigalarapalya,4,Prtanha,3122,6,2,230
6,Ready To Move,Somasundara Palya,3,u,1600,3,3,64
10,Unavailable ,T.C PALYA,2,u,1200,2,0,79
7,Ready To Move,Muneshwara Nagar,2,u,1230,2,3,48
6,Ready To Move, Devarachikkanahalli,2,Clntsrt,1250,2,2,40
6,Ready To Move,Kalena Agrahara,2,PuamaPa,1325,2,2,76
2,Ready To Move,7th Phase JP Nagar,3,Brngsal,1850,3,1,150
6,Unavailable ,Kanakpura Road,1,PrarePa,525,0,0,21.53
6,Ready To Move,Basaveshwara Nagar,2,u,1200,2,2,65
10,Ready To Move,Bull Temple Road,3,u,1350,2,0,140
6,Unavailable ,Bommasandra,3,SSestth,1260,3,1,49.36
6,Ready To Move,Prashanth Nagar,3,Vancy R,1800,3,0,150
10,Unavailable ,Suragajakkanahalli,3,PrhyaK ,11,3,2,74
2,Ready To Move,Ardendale,2,Miwel M,1100,2,1,43.25
6,Ready To Move,Harlur,2,SrEndPo,1508,2,1,77
7,Ready To Move,Sampigehalli,3,Puens G,1592,3,2,75
6,Ready To Move,Akshaya Nagar,2,SagasSa,1388,2,3,57
6,Unavailable ,Electronic City Phase II,1,SNbay G,630,1,1,28.35
10,Ready To Move,RMV,3,u,2000,3,2,365
6,Ready To Move,Banashankari3rd stage bigbazar,3,u,1762,3,1,125
6,Unavailable ,Bagalur Main Road,2,u,950,2,2,50
6,Ready To Move,Kodihalli,4,Soianal,3252,5,3,335
6,Unavailable ,Magadi Road,2,Vrenty ,1116,2,1,50
6,Ready To Move,Narayanapura,2,AriosHe,1308,2,2,89.04
6,Ready To Move,MS Pallya,3,u,1200,3,0,90
10,Ready To Move,Binny Mills Employees Colony,4,u,1500,4,2,230
2,Ready To Move,Bannerghatta Road,1,u,500,1,1,18.5
6,Ready To Move,Hennur,2,SLureSi,1075,2,1,52
6,Unavailable ,Chandapura,1,Siissi ,530,1,0,11.66
2,Ready To Move,Bellandur,2,u,1205,2,3,66
6,Ready To Move,5th Phase JP Nagar,2,Mangsr ,1075,2,2,60
2,Ready To Move,KR Puram,2,HovasTe,930,2,2,39
6,Ready To Move,Balagere,2,Exncene,1380,2,1,60
6,Ready To Move,Hebbal,4,Prersis,2483,5,2,212
2,Ready To Move,Kodigehaali,2,Shyas S,1166,2,2,55
6,Ready To Move,Bannerghatta Road,2,NadelCi,1050,2,1,65
6,Unavailable ,Gopalapura,3,Sothadr,2023.71,3,2,275
6,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,46.8
6,Ready To Move,Lakshminarayana Pura,3,Puarent,1600,2,1,108
6,Ready To Move,Billekahalli,3,MaionPa,1935,3,2,110
6,Unavailable ,8th Phase JP Nagar,1,Maian M,451,1,0,29.9
6,Ready To Move,Electronic City,3,ShstaAl,1800,3,2,95
6,Unavailable ,Jalahalli,3,Shard T,1400,3,0,77
6,Ready To Move,Hegde Nagar,3,SoitaCa,1801,3,2,115
2,Ready To Move,Mahadevpura,2,Neagar ,1451,2,0,90
10,Unavailable ,Anekal,2,u,1200,1,1,36
6,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,44
2,Ready To Move,Kengeri,2,u,1000,2,1,25
6,Ready To Move,Kanakpura Road,2,Wiowsri,950,2,1,40
2,Unavailable ,"Hoodi Circle, ",3,u,1629,3,2,79
2,Ready To Move,Vijayanagar,3,u,1580,2,0,134
6,Unavailable ,Vijayanagar,3,Saityat,1826,3,2,121
2,Ready To Move,7th Phase JP Nagar,2,Eladero,1245,2,1,94
6,Ready To Move,Raja Rajeshwari Nagar,2,Lancyey,1145,2,2,45.79
6,Ready To Move,Sompura,2,Suiseit,825,2,1,33
6,Unavailable ,Yeshwanthpur,3,Aroomba,1693,3,3,108
6,Ready To Move,Electronics City Phase 1,2,Courf T,1113.27,2,2,53
2,Ready To Move,Ashirvad Colony,2,VMowsea,1460,2,1,58
2,Ready To Move,Doddathoguru,2,S onsMa,1050,2,1,32
2,Ready To Move,Dodda Nekkundi,2,Tuentpa,1260,2,2,55
6,Ready To Move,K N Extension,6,u,700,3,0,120
2,Ready To Move,Hosur Road,2,Tovesee,1656,2,1,120
6,Ready To Move,Chandapura,3,Vailsaf,1208,3,1,45
6,Ready To Move,Whitefield,3,BrlisCo,1910,3,2,161
6,Ready To Move,Whitefield,4,Haestt ,3252,4,1,230
10,Ready To Move,Battarahalli,2,u,1200,2,1,65
6,Ready To Move,Gokula Extension,4,u,1200,4,1,175
6,Ready To Move,7th Phase JP Nagar,2,BriumMi,1175,2,1,82
10,Ready To Move,Kamakshipalya,2,u,1000,2,0,165
10,Ready To Move,Bannerghatta Road,4,u,1200,2,0,125
6,Ready To Move,Rajaji Nagar,3,PhestOn,2390,3,2,410
6,Unavailable ,Rajaji Nagar,7,u,12000,6,3,2200
10,Ready To Move,Sultan Palaya,2,u,550,1,1,62
6,Ready To Move,Kengeri,1,u,370.92435,1,0,18.5
6,Ready To Move,Sanne Amanikere,2,Hoxiaa ,1185,2,0,38
6,Ready To Move,Kengeri,2,VBvenal,750,2,1,38
10,Ready To Move,Mahalakshmi Layout,6,u,1200,7,3,250
6,Ready To Move,Kanakpura Road,3,JRrnauv,1550,3,3,64.5
2,Ready To Move,Amco Colony,3,Hoeatan,1760,3,2,88
6,Ready To Move,Billekahalli,2,Asity S,1125,2,2,62
10,Ready To Move,Nagarbhavi,3,u,1350,3,2,150
